epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,effective_alpha_kd,kd_multiplier,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.003,0.001,0.003,0.98428,0.49485,0.82771,1.62083,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
2,b,0.002999816799235266,0.000999938933078422,0.002999816799235266,1.02691,0.51034,0.8324,0.42601,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
3,b,0.0029992672421431115,0.0009997557473810372,0.0029992672421431115,1.04267,0.51521,0.83249,0.32991,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
4,b,0.0029983514643185257,0.0009994504881061753,0.0029983514643185257,1.05659,0.52171,0.83607,0.33252,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
5,b,0.0029970696917159833,0.0009990232305719944,0.0029970696917159833,1.05467,0.51968,0.83749,0.3413,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
6,b,0.002995422240593695,0.0009984740801978983,0.002995422240593695,1.04803,0.51734,0.83537,0.27349,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
7,b,0.002993409517435574,0.0009978031724785245,0.002993409517435574,1.05679,0.52242,0.83515,0.27374,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
8,b,0.002991032018850942,0.000997010672950314,0.002991032018850942,1.05833,0.522,0.83801,0.30319,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
9,b,0.0029882903314519997,0.0009960967771506667,0.0029882903314519997,1.06077,0.52142,0.83458,0.22837,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
10,b,0.002985185131709088,0.000995061710569696,0.002985185131709088,1.06453,0.52516,0.83651,0.26226,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
11,b,0.0029817171857837795,0.000993905728594593,0.0029817171857837795,1.0654,0.52437,0.83728,0.2653,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
12,b,0.0029778873493398394,0.000992629116446613,0.0029778873493398394,1.06316,0.52556,0.83767,0.26677,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
13,b,0.002973696567332103,0.000991232189110701,0.002973696567332103,1.06496,0.52665,0.838,0.22329,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,0.25,1.0,none,-1,-1,1.0,-1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
