epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,effective_alpha_kd,kd_multiplier,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,a2,0.003,0.001,0.003,0.76498,0.37167,0.80276,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2,a2,0.0029406,0.0009802,0.0029406,0.78673,0.38127,0.80416,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
3,a2,0.0028812,0.0009603999999999999,0.0028812,0.79505,0.38285,0.8025,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
4,a2,0.0028218,0.0009406,0.0028218,0.80211,0.38545,0.80437,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5,a2,0.0027624000000000004,0.0009208,0.0027624000000000004,0.79457,0.38245,0.80454,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
6,a2,0.002703,0.000901,0.002703,0.79453,0.38294,0.80406,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
7,a2,0.0026436,0.0008812,0.0026436,0.79637,0.38376,0.80344,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
8,a2,0.0025842,0.0008614,0.0025842,0.78613,0.38034,0.80321,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
9,a2,0.0025248000000000002,0.0008416000000000001,0.0025248000000000002,0.79411,0.38115,0.80182,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
10,a2,0.0024654000000000004,0.0008218000000000001,0.0024654000000000004,0.7903,0.381,0.80332,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
11,a2,0.002406,0.0008020000000000001,0.002406,0.7802,0.37695,0.80153,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
12,a2,0.0023466,0.0007822,0.0023466,0.78135,0.37732,0.80258,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
13,a2,0.0022872,0.0007624,0.0022872,0.78272,0.37856,0.80294,0.0,0.0,0.0,155.75,1.1527643203735352,5.660747528076172,20.984375,81,normal,0,0,nan,nan,nan,nan,0.0,1.0,none,-1,-1,1.0,-1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
