epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,132.431,0.76498,0.37167,0.80276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161,2.3487,2.34709,0,0,0,0,0.46841,0.0571,0.37767,0.42889,0.91923,0.85762,0.90358,0.61251,1.09103,0.47581,0.84722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61251,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,267.511,0.78673,0.38127,0.80416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163,2.34904,2.34741,0,0,0,0,0.46841,0.05713,0.37721,0.4286,0.91885,0.85099,0.89746,0.608,1.09072,0.47134,0.84701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
3,393.077,0.79505,0.38285,0.8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164,2.34925,2.3476,0,0,0,0,0.46835,0.05716,0.37606,0.42859,0.92516,0.86327,0.90386,0.61635,1.05857,0.46611,0.84189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61635,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
4,515.813,0.80211,0.38545,0.80437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,2.34859,2.34691,0,0,0,0,0.46837,0.05713,0.377,0.42856,0.93144,0.86827,0.91122,0.62204,1.07519,0.47896,0.84534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62204,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,640.244,0.79457,0.38245,0.80454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165,2.34953,2.34789,0,0,0,0,0.46851,0.05699,0.3768,0.42845,0.91867,0.85843,0.90124,0.61147,1.08434,0.47473,0.84454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61147,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,766.75,0.79453,0.38294,0.80406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,2.3498,2.34812,0,0,0,0,0.46846,0.05707,0.37605,0.42858,0.9052,0.85595,0.89042,0.59921,1.11341,0.48657,0.84807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59921,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,893.037,0.79637,0.38376,0.80344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171,2.34944,2.34773,0,0,0,0,0.46839,0.05709,0.37562,0.42851,0.91294,0.85558,0.89584,0.60967,1.06686,0.46864,0.84317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60967,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,1017.41,0.78613,0.38034,0.80321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,2.34998,2.3483,0,0,0,0,0.46837,0.05715,0.37575,0.42852,0.9103,0.85664,0.89712,0.61253,1.0755,0.47302,0.84486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61253,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,1141.02,0.79411,0.38115,0.80182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,2.349,2.34732,0,0,0,0,0.46839,0.05706,0.37582,0.42849,0.92377,0.8611,0.90379,0.61462,1.07928,0.47498,0.84584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61462,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,1266.82,0.7903,0.381,0.80332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,2.34874,2.34707,0,0,0,0,0.46827,0.05726,0.37735,0.42862,0.9104,0.85889,0.89728,0.61285,1.07474,0.47001,0.84319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61285,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,1392.19,0.7802,0.37695,0.80153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,2.3479,2.34624,0,0,0,0,0.4685,0.05697,0.37706,0.42847,0.92157,0.8684,0.90759,0.6162,1.0956,0.47215,0.84724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6162,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,1517.62,0.78135,0.37732,0.80258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,2.34845,2.34678,0,0,0,0,0.46842,0.05706,0.37667,0.42849,0.92999,0.87074,0.91028,0.62035,1.08112,0.47088,0.84778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62035,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,1641.99,0.78272,0.37856,0.80294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171,2.34849,2.34678,0,0,0,0,0.46838,0.05713,0.37635,0.42852,0.93736,0.87139,0.91516,0.62795,1.07417,0.46234,0.84338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62795,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
