epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.409,0.71187,0.35146,0.79894,0,0.00732,0.00032,0.00152,0.15319,0.29086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152,2.34365,2.34212,0,0,0.94317,0.40009,0.46846,0.0571,0.38026,0.43087,0.92872,0.86216,0.90716,0.62317,1.04659,0.45466,0.83992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62317,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003
2,258.794,0.71351,0.35191,0.7983,0,0.00728,0.00022,0.00149,0.15319,0.28962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149,2.34327,2.34178,0,0,0.88104,0.36059,0.46859,0.05709,0.37817,0.42895,0.93107,0.86694,0.91119,0.62699,1.04137,0.45115,0.83996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62699,0.0008406,0.0002802,0.0008406,0.0002802,0.0008406,0.0002802,0.0008406,0.0002802
3,384.548,0.71587,0.35131,0.79627,0,0.00725,0.00021,0.00144,0.15318,0.28765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144,2.34,2.33856,0,0,0.87968,0.3567,0.4684,0.05715,0.37714,0.42851,0.93052,0.87077,0.91155,0.62989,1.02745,0.45368,0.83731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62989,0.0007812,0.0002604,0.0007812,0.0002604,0.0007812,0.0002604,0.0007812,0.0002604
4,511.704,0.71852,0.3525,0.7976,0,0.00723,0.0002,0.00143,0.15318,0.28881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,2.33788,2.33645,0,0,0.894,0.35593,0.46836,0.05707,0.37775,0.42838,0.92748,0.86763,0.90903,0.62956,1.02195,0.44795,0.83716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62956,0.0007218,0.0002406,0.0007218,0.0002406,0.0007218,0.0002406,0.0007218,0.0002406
5,637.623,0.70847,0.34888,0.7977,0,0.00722,0.00019,0.00139,0.15317,0.28559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139,2.33748,2.3361,0,0,0.90332,0.3548,0.46837,0.05693,0.37697,0.42805,0.92272,0.85973,0.90515,0.61912,1.06112,0.46274,0.84242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61912,0.0006624,0.0002208,0.0006624,0.0002208,0.0006624,0.0002208,0.0006624,0.0002208
6,764.804,0.70852,0.34894,0.79676,0,0.00719,0.00018,0.00136,0.15317,0.28566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,2.33599,2.33463,0,0,0.91104,0.35411,0.46843,0.05705,0.37744,0.42831,0.92525,0.86335,0.908,0.62215,1.04958,0.45446,0.84033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62215,0.000603,0.000201,0.000603,0.000201,0.000603,0.000201,0.000603,0.000201
7,894.82,0.70933,0.34806,0.79646,0,0.00716,0.00018,0.00136,0.15317,0.28549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,2.33471,2.33336,0,0,0.91042,0.35314,0.46827,0.05704,0.37668,0.42809,0.92175,0.86493,0.90599,0.62243,1.0438,0.45341,0.83878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62243,0.0005436,0.0001812,0.0005436,0.0001812,0.0005436,0.0001812,0.0005436,0.0001812
8,1021.18,0.69946,0.34531,0.79614,0,0.00716,0.00018,0.00133,0.15317,0.28216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133,2.33459,2.33326,0,0,0.91153,0.35216,0.4682,0.05708,0.37708,0.428,0.92816,0.87,0.91102,0.62892,1.03643,0.45066,0.83947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62892,0.0004842,0.0001614,0.0004842,0.0001614,0.0004842,0.0001614,0.0004842,0.0001614
9,1148.56,0.70666,0.34626,0.79481,0,0.00714,0.00018,0.00131,0.15316,0.28302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131,2.33263,2.33132,0,0,0.92225,0.3513,0.46818,0.05703,0.37669,0.42792,0.92233,0.87368,0.91021,0.62774,1.03849,0.45026,0.83965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62774,0.0004248,0.0001416,0.0004248,0.0001416,0.0004248,0.0001416,0.0004248,0.0001416
10,1268,0.7009,0.34553,0.79623,0,0.00712,0.00017,0.00132,0.15317,0.28398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132,2.33199,2.33067,0,0,0.92126,0.35108,0.46794,0.05725,0.37739,0.42787,0.92827,0.86473,0.90734,0.6239,1.03847,0.45137,0.83998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6239,0.0003654,0.0001218,0.0003654,0.0001218,0.0003654,0.0001218,0.0003654,0.0001218
