epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,116.565,0.76533,0.37195,0.80289,0,0.00729,0.00023,0.00154,0.1532,0.30335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154,2.34155,2.34001,0,0,0.89225,0.36736,0.46858,0.0571,0.37839,0.42925,0.9223,0.85991,0.90375,0.61677,1.08233,0.47161,0.84559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61677,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,239.18,0.78284,0.37928,0.80387,0,0.00719,0.00018,0.00147,0.15319,0.30528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147,2.33496,2.33349,0,0,0.91288,0.35519,0.46864,0.05714,0.37828,0.42872,0.91394,0.85257,0.89653,0.60543,1.09725,0.47475,0.84693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60543,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934
3,367.007,0.78663,0.37942,0.8014,0,0.0071,0.00017,0.00139,0.15318,0.30441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139,2.33212,2.33073,0,0,0.91766,0.35021,0.4684,0.05724,0.37733,0.42837,0.92072,0.8616,0.9006,0.61744,1.05847,0.46725,0.83961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61744,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868
4,489.234,0.78701,0.37979,0.80301,0,0.00703,0.00016,0.00135,0.15317,0.30459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135,2.33064,2.32929,0,0,0.93611,0.34569,0.4685,0.05717,0.3779,0.42838,0.92968,0.86768,0.90755,0.62299,1.06171,0.47223,0.84289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62299,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
5,612.1,0.7739,0.37556,0.80296,0,0.00698,0.00016,0.00128,0.15316,0.30215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128,2.33071,2.32943,0,0,0.943,0.34113,0.4682,0.05704,0.37626,0.42755,0.92224,0.85833,0.89866,0.60681,1.08671,0.47521,0.84409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60681,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736
6,735.023,0.76869,0.37239,0.80195,0,0.00691,0.00015,0.00124,0.15315,0.29972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,2.32859,2.32734,0,0,0.94775,0.33737,0.46841,0.05727,0.37688,0.42796,0.91631,0.85571,0.8968,0.60448,1.0874,0.47406,0.84589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60448,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067
7,860.3,0.76449,0.37075,0.80055,0,0.00685,0.00015,0.00121,0.15315,0.29804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121,2.32711,2.3259,0,0,0.93924,0.33354,0.46767,0.05729,0.37489,0.42682,0.91447,0.85922,0.89747,0.61469,1.05386,0.46107,0.84034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61469,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
8,982.635,0.74933,0.36532,0.79987,0,0.00682,0.00014,0.00117,0.15314,0.29376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117,2.32772,2.32654,0,0,0.94129,0.3304,0.46763,0.05734,0.37504,0.42672,0.92235,0.85759,0.90094,0.62271,1.03622,0.45971,0.84042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62271,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538
9,1106.8,0.75273,0.36455,0.79803,0,0.00677,0.00014,0.00115,0.15314,0.2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115,2.32475,2.3236,0,0,0.95064,0.32824,0.4677,0.05731,0.37469,0.42672,0.92515,0.86573,0.9076,0.62213,1.05511,0.46022,0.84157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62213,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472
10,1229.07,0.7421,0.36145,0.79933,0,0.00673,0.00014,0.00114,0.15314,0.29286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114,2.32433,2.32319,0,0,0.94194,0.32627,0.46756,0.05749,0.3758,0.42677,0.91971,0.86155,0.90451,0.61996,1.05675,0.46101,0.84292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61996,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
11,1349.79,0.72951,0.3576,0.79752,0,0.00672,0.00014,0.00111,0.15314,0.29084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111,2.32696,2.32584,0,0,0.93513,0.32407,0.46781,0.05724,0.37463,0.42658,0.92914,0.872,0.91239,0.62453,1.06388,0.45793,0.84422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62453,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
12,1473.47,0.7236,0.35398,0.79757,0,0.00669,0.00014,0.00109,0.15313,0.28841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,2.32781,2.32672,0,0,0.93715,0.32237,0.46766,0.05735,0.37463,0.42643,0.93049,0.86955,0.91004,0.62279,1.0555,0.45738,0.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62279,0.000822,0.000274,0.000822,0.000274,0.000822,0.000274,0.000822,0.000274
