epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,200.068,0.77367,0.37403,0.80272,0,0.00729,0.0004,0.00153,0.15319,0.30225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153,2.34349,2.34197,0,0,0.87668,0.35899,0.4685,0.05716,0.37787,0.42866,0.91163,0.85801,0.8945,0.60869,1.07679,0.46755,0.84148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60869,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,391.142,0.79205,0.38245,0.80189,0,0.0072,0.00031,0.00147,0.15319,0.30619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147,2.33138,2.32992,0,0,0.91617,0.35498,0.46765,0.05729,0.37683,0.42725,0.90807,0.8575,0.89342,0.59644,1.12422,0.48041,0.84921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59644,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
3,575.821,0.79685,0.3853,0.80254,0,0.00711,0.0003,0.0014,0.15318,0.30889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,2.32625,2.32485,0,0,0.92744,0.35004,0.46741,0.05732,0.37667,0.42681,0.91925,0.85866,0.89969,0.61254,1.07225,0.47471,0.84164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61254,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
4,767.371,0.79394,0.38209,0.80321,0,0.00702,0.00028,0.00133,0.15317,0.30659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133,2.32251,2.32118,0,0,0.92673,0.34411,0.46737,0.05724,0.37634,0.42655,0.92526,0.86963,0.90799,0.62499,1.07407,0.46956,0.84382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62499,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
5,958.341,0.80313,0.38563,0.80449,0,0.00696,0.00027,0.00129,0.15316,0.30816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,2.31934,2.31805,0,0,0.93838,0.33905,0.46719,0.05713,0.37435,0.426,0.90667,0.85854,0.8958,0.6076,1.06985,0.47203,0.84132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6076,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
6,1146.99,0.78982,0.3831,0.80423,0,0.00687,0.00025,0.00126,0.15316,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126,2.32235,2.3211,0,0,0.92717,0.33385,0.46709,0.05736,0.37509,0.42589,0.91372,0.85959,0.89513,0.60495,1.10157,0.47657,0.8452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60495,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
7,1330.59,0.79345,0.38501,0.80309,0,0.0068,0.00025,0.00121,0.15315,0.30745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121,2.32331,2.3221,0,0,0.91791,0.32813,0.46668,0.05737,0.37411,0.42518,0.91241,0.85668,0.89657,0.60454,1.09479,0.47815,0.84542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60454,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
8,1517.33,0.79221,0.38183,0.80119,0,0.00675,0.00024,0.00118,0.15315,0.30746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118,2.32328,2.32209,0,0,0.91891,0.3237,0.46675,0.05747,0.37356,0.4252,0.91399,0.86627,0.90404,0.61097,1.10058,0.48019,0.84675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61097,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
9,1709.54,0.79042,0.38072,0.80337,0,0.00667,0.00024,0.00116,0.15314,0.30646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116,2.32413,2.32298,0,0,0.90933,0.31821,0.46662,0.05748,0.37423,0.42477,0.89924,0.84754,0.88914,0.60424,1.0901,0.47826,0.84624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60424,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
10,1901.09,0.78691,0.37913,0.803,0,0.00661,0.00022,0.00112,0.15314,0.30533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,2.3245,2.32338,0,0,0.9104,0.31381,0.46669,0.05776,0.37452,0.42507,0.92744,0.86346,0.90679,0.62364,1.06639,0.46305,0.84284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62364,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
11,2085.57,0.77914,0.37815,0.80204,0,0.00656,0.00023,0.0011,0.15313,0.30356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,2.32465,2.32355,0,0,0.90052,0.30878,0.46671,0.05748,0.37394,0.42452,0.90962,0.84918,0.89288,0.60252,1.10829,0.48325,0.84789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60252,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
12,2287.02,0.78147,0.37897,0.80304,0,0.00651,0.00022,0.00108,0.15313,0.30334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,2.32293,2.32186,0,0,0.88384,0.3038,0.46641,0.05768,0.37307,0.42409,0.92439,0.86725,0.9062,0.62071,1.06056,0.46181,0.84164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62071,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
13,2464.13,0.77846,0.37649,0.80364,0,0.00646,0.00022,0.00106,0.15313,0.30193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106,2.32396,2.3229,0,0,0.88417,0.29974,0.46632,0.05784,0.37346,0.42386,0.91727,0.86447,0.9047,0.62082,1.04973,0.46252,0.8408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62082,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
14,2641.37,0.78372,0.37772,0.80176,0,0.00641,0.00022,0.00105,0.15313,0.30245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105,2.32315,2.3221,0,0,0.87992,0.29622,0.46655,0.05784,0.37359,0.42412,0.91657,0.8555,0.89679,0.61227,1.05673,0.45907,0.83986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61227,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
15,2820.58,0.77411,0.37442,0.80073,0,0.00637,0.00022,0.00101,0.15312,0.30068,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.00101,2.32612,2.32511,0,0,0.88424,0.2926,0.46643,0.0578,0.37354,0.4235,0.90673,0.85326,0.89399,0.60782,1.08799,0.46986,0.84695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60782,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
