run_id,run_name,server,model,seed,phase,status,primary_phase,valid_for_mainline,config,tag,rows,best_ap5095,best_epoch,last_ap5095,best_final_drop,sar_baseline_best,sar_baseline_final,safe_threshold,best_minus_sar_best,last_minus_sar_final,best_minus_safe_threshold,last_minus_safe_threshold,remote_run_dir,local_results_csv,notes,e1_train_box_loss,e1_train_cls_loss,e1_train_dfl_loss,e1_val_box_loss,e1_val_cls_loss,e1_val_dfl_loss,e1_train_kd_loss,e1_train_reach_match,e1_train_reach_rank,e1_train_task_loss,e1_train_rec_loss,e1_train_teacher_private_aux_loss,best_train_box_loss,best_train_cls_loss,best_train_dfl_loss,best_val_box_loss,best_val_cls_loss,best_val_dfl_loss,best_train_kd_loss,best_train_reach_match,best_train_reach_rank,best_train_task_loss,best_train_rec_loss,best_train_teacher_private_aux_loss,last_train_box_loss,last_train_cls_loss,last_train_dfl_loss,last_val_box_loss,last_val_cls_loss,last_val_dfl_loss,last_train_kd_loss,last_train_reach_match,last_train_reach_rank,last_train_task_loss,last_train_rec_loss,last_train_teacher_private_aux_loss
S1,s A2 lr3e-4 short13 + B weakKD0.1 B120 b32 retry2,main_4090,s,0,a1,completed,b,no,"EPOCHS_A2=13, B alpha_kd=0.1, B120, batch32 retry2",_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2,10,0.62859000,10,0.62859000,0.00000000,0.62897,0.62233,0.62697,-0.00038000,0.00626000,0.00162000,0.00162000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_a1_e10_b32_s0_gpu0,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/s_weakkd0p1_b120_b32retry2/unknown/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_a1_e10_b32_s0_gpu0/results.csv,B weakKD0.1 did not preserve the strong A2 peak; B final returns near SAR baseline final and below s safe threshold.,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,14.183600,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.293870,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.293870,,
S1,s A2 lr3e-4 short13 + B weakKD0.1 B120 b32 retry2,main_4090,s,0,a2,completed,b,no,"EPOCHS_A2=13, B alpha_kd=0.1, B120, batch32 retry2",_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2,13,0.63331000,4,0.62608000,0.00723000,0.62897,0.62233,0.62697,0.00434000,0.00375000,0.00634000,-0.00089000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_a2_e13_b32_s0_gpu0,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/s_weakkd0p1_b120_b32retry2/unknown/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_a2_e13_b32_s0_gpu0/results.csv,B weakKD0.1 did not preserve the strong A2 peak; B final returns near SAR baseline final and below s safe threshold.,0.716840,0.352470,0.798590,1.060570,0.458140,0.840160,0.000000,,,0.288800,,,0.707820,0.347800,0.796420,1.047500,0.457120,0.841320,0.000000,,,0.284740,,,0.690760,0.341550,0.796790,1.063630,0.460150,0.841840,0.000000,,,0.282250,,
S1,s A2 lr3e-4 short13 + B weakKD0.1 B120 b32 retry2,main_4090,s,0,b,completed,b,no,"EPOCHS_A2=13, B alpha_kd=0.1, B120, batch32 retry2",_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2,120,0.62827000,10,0.62267000,0.00560000,0.62897,0.62233,0.62697,-0.00070000,0.00034000,0.00130000,-0.00430000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_b_e120_b32_s0_gpu0,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/s_weakkd0p1_b120_b32retry2/unknown/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_b_e120_b32_s0_gpu0/results.csv,B weakKD0.1 did not preserve the strong A2 peak; B final returns near SAR baseline final and below s safe threshold.,0.734920,0.361860,0.799290,1.085220,0.473030,0.842770,0.346630,,,0.000000,,,0.806850,0.387290,0.804440,1.092540,0.471850,0.844640,0.033020,,,0.000000,,,0.662660,0.329150,0.794090,1.066700,0.456890,0.841990,0.019800,,,0.000000,,
S2,s A2 lr3e-4 short13 + B det-only lr1e-4 B120,main_4090,s,0,a1,completed,b,candidate-best-only,"EPOCHS_A2=13, LADD_B_DET_ONLY=1, B_LR0=1e-4, B120",_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120,10,0.62878000,10,0.62878000,0.00000000,0.62897,0.62233,0.62697,-0.00019000,0.00645000,0.00181000,0.00181000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_a1_e10_b64_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/s_detonly_lr1e4_b120/unknown/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_a1_e10_b64_s0_gpu1/results.csv,"B best is above s SAR best but final still drops below s safe threshold; useful best checkpoint, not a stable final protocol.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,21.400400,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.293920,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.293920,,
S2,s A2 lr3e-4 short13 + B det-only lr1e-4 B120,main_4090,s,0,a2,completed,b,candidate-best-only,"EPOCHS_A2=13, LADD_B_DET_ONLY=1, B_LR0=1e-4, B120",_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120,13,0.63057000,13,0.63057000,0.00000000,0.62897,0.62233,0.62697,0.00160000,0.00824000,0.00360000,0.00360000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_a2_e13_b64_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/s_detonly_lr1e4_b120/unknown/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_a2_e13_b64_s0_gpu1/results.csv,"B best is above s SAR best but final still drops below s safe threshold; useful best checkpoint, not a stable final protocol.",0.711870,0.351460,0.798940,1.046590,0.454660,0.839920,0.000000,,,0.290860,,,0.692570,0.342480,0.795730,1.027230,0.445060,0.838740,0.000000,,,0.282960,,,0.692570,0.342480,0.795730,1.027230,0.445060,0.838740,0.000000,,,0.282960,,
S2,s A2 lr3e-4 short13 + B det-only lr1e-4 B120,main_4090,s,0,b,completed,b,candidate-best-only,"EPOCHS_A2=13, LADD_B_DET_ONLY=1, B_LR0=1e-4, B120",_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120,120,0.63125000,13,0.62556000,0.00569000,0.62897,0.62233,0.62697,0.00228000,0.00323000,0.00428000,-0.00141000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_b_e120_b64_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/s_detonly_lr1e4_b120/unknown/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_b_e120_b64_s0_gpu1/results.csv,"B best is above s SAR best but final still drops below s safe threshold; useful best checkpoint, not a stable final protocol.",0.658420,0.332630,0.794960,1.033310,0.449940,0.838670,0.000000,,,0.000000,,,0.692950,0.342190,0.795660,1.026030,0.443960,0.838830,0.000000,,,0.000000,,,0.671380,0.334280,0.793140,1.036210,0.446120,0.840290,0.000000,,,0.000000,,
N1,n A2 lr3e-4 short13 + B weakKD0.25 B200,main_4090,n,0,a1,completed,b,secondary,"EPOCHS_A2=13, B alpha_kd=0.25, B200",_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200,10,0.55593000,10,0.55593000,0.00000000,0.55654,0.55127,,-0.00061000,0.00466000,,,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200_a1_e10_b64_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/n_weakkd0p25_b200/unknown/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200_a1_e10_b64_s0_gpu1/results.csv,"Positive over n SAR baseline best/final, but below prior n BN-freeze/full mainline best around 0.57615.",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,36.728500,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.371080,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.371080,,
N1,n A2 lr3e-4 short13 + B weakKD0.25 B200,main_4090,n,0,a2,completed,b,secondary,"EPOCHS_A2=13, B alpha_kd=0.25, B200",_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200,13,0.56217000,13,0.56217000,0.00000000,0.55654,0.55127,,0.00563000,0.01090000,,,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200_a2_e13_b64_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/n_weakkd0p25_b200/unknown/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200_a2_e13_b64_s0_gpu1/results.csv,"Positive over n SAR baseline best/final, but below prior n BN-freeze/full mainline best around 0.57615.",0.939420,0.470510,0.822390,1.143380,0.527920,0.846740,0.000000,,,0.368030,,,0.911990,0.458530,0.817330,1.135360,0.515680,0.846410,0.000000,,,0.359200,,,0.911990,0.458530,0.817330,1.135360,0.515680,0.846410,0.000000,,,0.359200,,
N1,n A2 lr3e-4 short13 + B weakKD0.25 B200,main_4090,n,0,b,completed,b,secondary,"EPOCHS_A2=13, B alpha_kd=0.25, B200",_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200,200,0.56476000,197,0.56419000,0.00057000,0.55654,0.55127,,0.00822000,0.01292000,,,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200_b_e200_b64_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/n_weakkd0p25_b200/unknown/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200_b_e200_b64_s0_gpu1/results.csv,"Positive over n SAR baseline best/final, but below prior n BN-freeze/full mainline best around 0.57615.",0.984280,0.494850,0.827710,1.225970,0.563450,0.858940,1.620830,,,0.000000,,,0.873900,0.438890,0.811290,1.139370,0.513450,0.847060,0.061710,,,0.000000,,,0.875610,0.440010,0.814980,1.139970,0.513390,0.847120,0.063970,,,0.000000,,
M1,m A2 lr3e-4 short4 + B1 placeholder,main_4090,m,0,a1,completed,a2,no,"EPOCHS_A2=4, A2_LR0=3e-4, B=1 placeholder",_fix_m_s0_a2lr3e4_short4_b1,10,0.65533000,10,0.65533000,0.00000000,0.6558,0.64903,0.6538,-0.00047000,0.00630000,0.00153000,0.00153000,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_a1_e10_b32_s0_gpu1,ladd/results/repair_experiments_20260613/evidence/main_4090/runs/m_lr3e4_short4_b1/unknown/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_a1_e10_b32_s0_gpu1/results.csv,Very short A2 remains below m SAR final and safe threshold; B=1 is placeholder only.,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,7.935560,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.274640,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.274640,,
