epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.003,0.001,0.003,1.01999,0.51018,0.835,4.06005,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
2,b,0.0029999885497314837,0.0009999961832438278,0.0029999885497314837,1.07556,0.53189,0.84205,1.35111,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
3,b,0.0029999541991025127,0.000999984733034171,0.0029999541991025127,1.07933,0.53266,0.84096,1.27788,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
4,b,0.002999896948642816,0.0009999656495476052,0.002999896948642816,1.0947,0.53986,0.84409,1.36007,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
5,b,0.002999816799235266,0.000999938933078422,0.002999816799235266,1.0887,0.53445,0.84533,1.36121,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
6,b,0.0029997137521158663,0.000999904584038622,0.0029997137521158663,1.07947,0.5319,0.84284,1.06544,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
7,b,0.0029995878088737308,0.0009998626029579104,0.0029995878088737308,1.09332,0.53826,0.84386,1.13525,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
8,b,0.00299943897145106,0.0009998129904836867,0.00299943897145106,1.07686,0.53024,0.84327,1.08024,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
9,b,0.0029992672421431115,0.0009997557473810372,0.0029992672421431115,1.08861,0.53349,0.84078,0.97239,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
10,b,0.002999072623598163,0.000999690874532721,0.002999072623598163,1.10139,0.54237,0.84516,1.00181,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
