epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,b,0.003,0.001,0.003,1.00031,0.49791,0.82903,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2,b,0.0029992672421431115,0.0009997557473810372,0.0029992672421431115,1.01724,0.50452,0.82969,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
3,b,0.0029970696917159833,0.0009990232305719944,0.0029970696917159833,1.02724,0.50733,0.82862,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
4,b,0.002993409517435574,0.0009978031724785245,0.002993409517435574,1.03627,0.5119,0.83121,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
5,b,0.0029882903314519997,0.0009960967771506667,0.0029882903314519997,1.02791,0.5074,0.8311,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
6,b,0.0029817171857837795,0.000993905728594593,0.0029817171857837795,1.03287,0.51089,0.83136,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
7,b,0.002973696567332103,0.000991232189110701,0.002973696567332103,1.03525,0.5114,0.83023,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
8,b,0.00296423639147904,0.00098807879715968,0.00296423639147904,1.02627,0.50787,0.83057,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
9,b,0.0029533459942760174,0.0009844486647586726,0.0029533459942760174,1.03337,0.50764,0.82872,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
10,b,0.002941036123230261,0.0009803453744100868,0.002941036123230261,1.03657,0.51234,0.83165,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
11,b,0.002927318926698303,0.000975772975566101,0.002927318926698303,1.03251,0.5089,0.83077,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
12,b,0.0029122079418970248,0.0009707359806323416,0.0029122079418970248,1.02894,0.51015,0.83071,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
13,b,0.0028957180815440534,0.0009652393605146845,0.0028957180815440534,1.03342,0.51178,0.83164,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
14,b,0.002877865619140712,0.0009592885397135707,0.002877865619140712,1.03277,0.51259,0.83009,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
15,b,0.0028586681729120393,0.0009528893909706797,0.0028586681729120393,1.02246,0.50748,0.83045,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
16,b,0.002838144688419726,0.0009460482294732421,0.002838144688419726,1.024,0.50636,0.83053,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
17,b,0.0028163154198651372,0.0009387718066217125,0.0028163154198651372,1.02277,0.50747,0.82995,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
18,b,0.002793201910100856,0.0009310673033669522,0.002793201910100856,1.02012,0.50455,0.829,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
19,b,0.0027688269693704926,0.0009229423231234974,0.0027688269693704926,1.02015,0.50516,0.82976,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
20,b,0.002743214652797724,0.0009144048842659081,0.002743214652797724,1.02608,0.50691,0.83164,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
21,b,0.002716390236646797,0.000905463412215599,0.002716390236646797,1.02384,0.50685,0.83184,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
22,b,0.0026883801933779003,0.0008961267311259668,0.0026883801933779003,1.02427,0.50655,0.83039,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
23,b,0.0026592121655220472,0.0008864040551740157,0.0026592121655220472,1.00655,0.50074,0.82979,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
24,b,0.0026289149384012326,0.0008763049794670776,0.0026289149384012326,1.01592,0.50331,0.8304,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
25,b,0.0025975184117207964,0.0008658394705735988,0.0025975184117207964,1.01869,0.50388,0.82984,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
26,b,0.002565053570062023,0.000855017856687341,0.002565053570062023,1.01177,0.50061,0.82931,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
27,b,0.0025315524523041024,0.0008438508174347008,0.0025315524523041024,1.01124,0.50203,0.82956,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
28,b,0.002497048120005623,0.0008323493733352076,0.002497048120005623,1.01133,0.49798,0.82815,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
29,b,0.0024615746247768043,0.0008205248749256015,0.0024615746247768043,1.00757,0.49871,0.82619,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
30,b,0.0024251669746746703,0.0008083889915582234,0.0024251669746746703,1.0065,0.49743,0.82837,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
31,b,0.002387861099654323,0.0007959536998847743,0.002387861099654323,1.00468,0.4972,0.82934,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
32,b,0.002349693816110414,0.0007832312720368047,0.002349693816110414,0.99842,0.4967,0.82732,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
33,b,0.00231070279054381,0.0007702342635146033,0.00231070279054381,0.99681,0.49435,0.82856,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
34,b,0.002270926502389301,0.0007569755007964337,0.002270926502389301,0.99869,0.49509,0.82859,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
35,b,0.002230404206041047,0.000743468068680349,0.002230404206041047,0.99465,0.49176,0.82683,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
36,b,0.0021891758921132273,0.0007297252973710758,0.0021891758921132273,0.99704,0.49228,0.82554,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
37,b,0.002147282247974133,0.0007157607493247109,0.002147282247974133,0.99277,0.49056,0.82832,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
38,b,0.002104764617592649,0.0007015882058642164,0.002104764617592649,0.99152,0.49129,0.82581,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
39,b,0.002061664960736747,0.0006872216535789157,0.002061664960736747,0.98778,0.48926,0.82617,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
40,b,0.0020180258115642578,0.0006726752705214193,0.0020180258115642578,0.98384,0.48543,0.82588,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
41,b,0.001973890236646797,0.0006579634122155991,0.001973890236646797,0.98866,0.49125,0.82684,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
42,b,0.001929301792468256,0.0006431005974894186,0.001929301792468256,0.9819,0.48653,0.82558,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
43,b,0.0018843044824398093,0.0006281014941466031,0.0018843044824398093,0.97604,0.48583,0.82547,0.0,0.0,0.0,78.875,1.934607744216919,9.700389862060547,31.015625,81,always_freeze,1,0,nan,nan,nan,nan,1.0,0.0,1.0,0,none,-1,-1,1.0,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
