epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.328,1.07231,0.53351,0.84162,0,0,0,0,0,0,3.99304,0.05096,0.00893,0.00225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57527,0.24208,0,0,0.48536,0.05636,0.4846,0.47799,0.82442,0.7675,0.80701,0.51435,1.26209,0.58366,0.86791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51435,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,217.165,1.11732,0.55086,0.84749,0,0,0,0,0,0,1.42452,0.04688,0.00773,0.00052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56722,0.25031,0,0,0.4854,0.05638,0.48198,0.47561,0.82496,0.76141,0.80313,0.5131,1.26483,0.5904,0.86924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5131,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
3,325.229,1.1252,0.5506,0.84689,0,0,0,0,0,0,1.41508,0.04289,0.00589,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54142,0.26143,0,0,0.48545,0.05642,0.48243,0.47551,0.8268,0.75967,0.79838,0.5025,1.30641,0.6063,0.87699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5025,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023
4,432.523,1.13943,0.56353,0.85046,0,0,0,0,0,0,1.55277,0.03897,0.00465,0.00044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56077,0.27115,0,0,0.48543,0.05639,0.48424,0.47639,0.84118,0.76036,0.80864,0.5178,1.2594,0.58049,0.86739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5178,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803
5,538.882,1.13163,0.55669,0.85124,0,0,0,0,0,0,1.27543,0.03565,0.00357,0.00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57461,0.28297,0,0,0.48531,0.05624,0.48364,0.47569,0.82612,0.75325,0.79836,0.50371,1.27543,0.59489,0.87195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50371,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097
6,645.388,1.12322,0.5534,0.84937,0,0,0,0,0,0,1.13438,0.0324,0.00279,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59431,0.2916,0,0,0.48534,0.05634,0.47857,0.47242,0.8404,0.75391,0.80305,0.51404,1.27545,0.58957,0.8684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51404,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
7,751.932,1.11678,0.55203,0.84618,0,0,0,0,0,0,0.9873,0.0286,0.00242,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61964,0.29504,0,0,0.48535,0.05633,0.47731,0.47163,0.82917,0.76025,0.80232,0.51084,1.28976,0.58812,0.87212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51084,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232
8,863.502,1.11432,0.54924,0.84766,0,0,0,0,0,0,1.32045,0.02599,0.00218,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63048,0.2954,0,0,0.48535,0.05635,0.48329,0.47477,0.80931,0.76004,0.79641,0.51203,1.2775,0.58319,0.87157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51203,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079
9,976.904,1.11967,0.54783,0.84537,0,0,0,0,0,0,1.06184,0.02316,0.00189,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65356,0.29941,0,0,0.48534,0.05635,0.4806,0.47298,0.8249,0.75503,0.79532,0.50815,1.29429,0.59204,0.87445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50815,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449
10,1083.03,1.12672,0.55394,0.84814,0,0,0,0,0,0,1.21682,0.02158,0.00161,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67157,0.30098,0,0,0.48543,0.05638,0.4821,0.47416,0.84217,0.7546,0.80406,0.51337,1.29691,0.59412,0.87365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51337,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345
