epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,118.147,0.77448,0.3804,0.8045,0,0,0,0,0,0,1.54929,0.0362,0.00438,0.00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63148,0.25641,0,0,0.46668,0.05714,0.38861,0.43524,0.9079,0.86136,0.89985,0.60625,1.1015,0.47918,0.8475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60625,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,243.623,0.79431,0.38742,0.80561,0,0,0,0,0,0,0.3734,0.02565,0.00256,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53726,0.26112,0,0,0.46668,0.05718,0.37608,0.42667,0.90406,0.85796,0.89697,0.60959,1.08079,0.47666,0.84463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60959,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
3,365.174,0.8004,0.38664,0.80378,0,0,0,0,0,0,0.30217,0.01844,0.00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52944,0.27016,0,0,0.46662,0.0572,0.37368,0.4256,0.91489,0.85234,0.89701,0.61155,1.06855,0.47402,0.84227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61155,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023
4,485.787,0.80786,0.38931,0.80631,0,0,0,0,0,0,0.27581,0.01432,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53705,0.28375,0,0,0.46665,0.05717,0.37369,0.42504,0.92471,0.86752,0.90755,0.61928,1.08275,0.482,0.84613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61928,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803
5,604.681,0.80298,0.38736,0.80633,0,0,0,0,0,0,0.26393,0.01183,0.00077,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56544,0.29318,0,0,0.4668,0.05704,0.37419,0.42547,0.90925,0.84878,0.89208,0.59788,1.1166,0.48359,0.84764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59788,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097
6,723.631,0.80593,0.38795,0.80597,0,0,0,0,0,0,0.25229,0.00999,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58795,0.30094,0,0,0.46673,0.05711,0.37474,0.42577,0.91025,0.85687,0.89461,0.60092,1.09084,0.48002,0.84685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60092,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
7,843.944,0.80967,0.38866,0.80576,0,0,0,0,0,0,0.22949,0.00876,0.00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60931,0.30579,0,0,0.46668,0.05713,0.37336,0.42497,0.91855,0.86062,0.89945,0.61272,1.04486,0.46636,0.84074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61272,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232
8,963.78,0.79947,0.38572,0.80497,0,0,0,0,0,0,0.23172,0.0078,0.00044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63683,0.30444,0,0,0.46666,0.05718,0.37384,0.42517,0.91516,0.86007,0.90328,0.62091,1.05363,0.4681,0.84362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62091,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079
9,1080.49,0.80733,0.38708,0.80409,0,0,0,0,0,0,0.22983,0.00692,0.00039,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65955,0.30365,0,0,0.46667,0.05711,0.37339,0.42533,0.92579,0.86382,0.90912,0.62034,1.06108,0.47151,0.84216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62034,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449
10,1199.98,0.80875,0.38876,0.8059,0,0,0,0,0,0,0.23228,0.00652,0.00035,6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67602,0.30008,0,0,0.46653,0.05729,0.37518,0.42618,0.91093,0.86177,0.89937,0.61284,1.06671,0.47204,0.84254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61284,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345
11,1320.5,0.80175,0.38624,0.80426,0,0,0,0,0,0,0.21255,0.00589,0.00032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69069,0.29644,0,0,0.46679,0.05703,0.37332,0.42496,0.92474,0.86052,0.90405,0.61021,1.10517,0.47713,0.84892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61021,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
12,1439.38,0.8063,0.38716,0.8048,0,0,0,0,0,0,0.21902,0.00572,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70401,0.29071,0,0,0.46671,0.05711,0.37441,0.42625,0.92517,0.86823,0.9093,0.6215,1.06736,0.47273,0.84421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6215,0.00291221,0.000970736,0.00291221,0.000970736,0.00291221,0.000970736,0.00291221,0.000970736
13,1560.62,0.80795,0.38763,0.80598,0,0,0,0,0,0,0.24131,0.00523,0.00035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70692,0.28633,0,0,0.46664,0.05717,0.37327,0.42555,0.9198,0.86948,0.90724,0.62181,1.06941,0.46724,0.84246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62181,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239
