epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,280.357,2.03639,1.32224,1.10811,0,0.00905,0.00046,0.00682,0.15412,1.05177,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0.00682,2.30867,2.30185,0,0,1.47264,1.1711,0.48263,0.05791,0.48474,0.48234,0.75798,0.66226,0.72462,0.42489,1.54939,0.8325,0.91661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42489,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,535.371,2.04044,1.31645,1.08624,0,0.00871,0.00034,0.00402,0.15355,0.96619,0,0,0,0,0.00095,0,0,0,0,0,0,0,0,0,0.00402,2.29498,2.29097,0,0,1.52138,1.17944,0.48325,0.05675,0.48219,0.48301,0.66073,0.51461,0.55214,0.29383,1.92124,1.07968,1.01405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29383,0.0195614,0.00652046,0.0195614,0.00652046,0.0195614,0.00652046,0.0195614,0.00652046
3,791.577,2.2606,1.59641,1.15296,0,0.0083,0.00033,0.0051,0.15371,1.01454,0,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0.0051,2.28362,2.27852,0,0,1.57361,1.18469,0.48094,0.05724,0.47983,0.48072,0.72462,0.30799,0.33266,0.15562,2.35603,1.4833,1.14736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15562,0.0287702,0.00959008,0.0287702,0.00959008,0.0287702,0.00959008,0.0287702,0.00959008
4,1049.03,2.48653,1.904,1.23991,0,0.00798,0.00035,0.00686,0.15396,1.08984,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.00686,2.28453,2.27766,0,0,1.56643,1.1558,0.48065,0.06004,0.48184,0.48044,0.47603,0.30716,0.29982,0.13084,2.36801,1.65462,1.17329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13084,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1307.18,2.4835,1.89699,1.2381,0,0.00768,0.00031,0.00637,0.15389,1.08103,0,0,0,0,4e-05,0,0,0,0,0,0,0,0,0,0.00637,2.28305,2.27668,0,0,1.56982,1.13988,0.48378,0.06023,0.48458,0.4836,0.45545,0.30962,0.29172,0.12194,2.45828,1.72966,1.21105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12194,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1569.82,2.4513,1.84813,1.22993,0,0.00739,0.00034,0.00578,0.15381,1.08134,0,0,0,0,7e-05,0,0,0,0,0,0,0,0,0,0.00578,2.28939,2.28361,0,0,1.55053,1.1347,0.48337,0.06087,0.48473,0.4832,0.44051,0.31882,0.29368,0.12149,2.39123,1.63157,1.18647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12149,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1834.46,2.4353,1.80305,1.22271,0,0.00716,0.00024,0.00567,0.15379,1.06417,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0.00567,2.29776,2.29209,0,0,1.54127,1.13701,0.48591,0.06153,0.48431,0.48577,0.46702,0.36252,0.34454,0.15112,2.34843,1.61936,1.16741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15112,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2088.41,2.40663,1.76681,1.20983,0,0.00684,0.00034,0.00533,0.15374,1.04258,0,0,0,0,0.00012,0,0,0,0,0,0,0,0,0,0.00533,2.30754,2.30221,0,0,1.52638,1.12748,0.48795,0.06107,0.4866,0.4878,0.69997,0.29851,0.3407,0.14742,2.34014,1.57794,1.17284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14742,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2348.3,2.38687,1.73222,1.20641,0,0.00663,0.00027,0.00511,0.15371,1.05247,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0.00511,2.30803,2.30292,0,0,1.52444,1.10582,0.4891,0.06218,0.4912,0.48891,0.69951,0.33581,0.35745,0.1599,2.33381,1.56142,1.16683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1599,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2610.59,2.37768,1.70644,1.19146,0,0.00646,0.00028,0.00488,0.15368,1.03367,0,0,0,0,9e-05,0,0,0,0,0,0,0,0,0,0.00488,2.31495,2.31007,0,0,1.49537,1.09033,0.48857,0.06272,0.49415,0.48835,0.52728,0.32681,0.35378,0.16388,2.33639,1.53503,1.17198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16388,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
