epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,274.995,2.01451,1.30624,1.10477,0,0.01006,0.00144,0.00795,0.02288,1.05071,0,0,0,0,0.00148,0,0,0,0,0,0,0,0,0,0.00795,3.98571,3.97776,0,0,2.52584,1.82147,0.47839,0.05087,0.4462,0.4789,0.69603,0.62079,0.64536,0.38116,1.64363,0.84917,0.93922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38116,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,538.456,2.06424,1.33266,1.08642,0,0.00963,0.00032,0.00415,0.02241,0.9733,0,0,0,0,0.00069,0,0,0,0,0,0,0,0,0,0.00415,3.99133,3.98719,0,0,2.46215,1.9434,0.47532,0.0506,0.44197,0.47585,0.68335,0.56779,0.60955,0.32974,1.79771,1.04338,0.97864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32974,0.0195614,0.00652046,0.0195614,0.00652046,0.0195614,0.00652046,0.0195614,0.00652046
3,802.159,2.23371,1.55492,1.13955,0,0.00908,0.00027,0.00561,0.02244,1.00667,0,0,0,0,0.00022,0,0,0,0,0,0,0,0,0,0.00561,3.9912,3.9856,0,0,2.46036,1.95925,0.47527,0.04988,0.44314,0.47576,0.48014,0.34387,0.3459,0.1542,2.28141,1.57626,1.15323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1542,0.0287702,0.00959008,0.0287702,0.00959008,0.0287702,0.00959008,0.0287702,0.00959008
4,1082.37,2.48846,1.91043,1.24053,0,0.00866,0.00032,0.00771,0.02252,1.08937,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0.00771,3.99005,3.98234,0,0,2.42574,1.92935,0.47701,0.04991,0.4492,0.47743,0.44068,0.30191,0.29131,0.12902,2.39807,1.67563,1.18926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12902,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1352.62,2.49956,1.91709,1.23795,0,0.00827,0.00026,0.00719,0.0225,1.0894,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0.00719,3.99027,3.98308,0,0,2.37745,1.90086,0.47763,0.05086,0.4481,0.47807,0.71018,0.28561,0.30326,0.1268,2.37751,1.72123,1.18182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1268,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1637.45,2.45957,1.83693,1.22902,0,0.00787,0.00024,0.00669,0.02248,1.0696,0,0,0,0,9e-05,0,0,0,0,0,0,0,0,0,0.00669,3.99072,3.98403,0,0,2.37608,1.87285,0.47803,0.05061,0.44918,0.47847,0.7133,0.29923,0.3239,0.13985,2.31933,1.62393,1.17471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13985,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1904.29,2.44448,1.8132,1.22756,0,0.00746,0.00022,0.00622,0.02246,1.0668,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0.00622,3.99097,3.98475,0,0,2.32164,1.82745,0.47546,0.05009,0.45,0.47587,0.39914,0.38114,0.33499,0.14605,2.33313,1.61828,1.17475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14605,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2166.01,2.40498,1.77043,1.2135,0,0.00714,0.00022,0.00602,0.02246,1.05648,0,0,0,0,7e-05,0,0,0,0,0,0,0,0,0,0.00602,3.99089,3.98487,0,0,2.28748,1.79054,0.47105,0.05157,0.44334,0.47148,0.38452,0.39861,0.3472,0.15151,2.38529,1.5862,1.17935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15151,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2431.73,2.40036,1.7421,1.19772,0,0.00693,0.00024,0.00602,0.02246,1.0502,0,0,0,0,0.00012,0,0,0,0,0,0,0,0,0,0.00602,3.9909,3.98488,0,0,2.25016,1.74911,0.47048,0.05219,0.44219,0.47094,0.45603,0.37237,0.34363,0.15524,2.35895,1.63442,1.16215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15524,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2693.98,2.38119,1.71831,1.20067,0,0.00675,0.0002,0.00554,0.02245,1.04008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00554,3.99102,3.98548,0,0,2.2259,1.73029,0.4737,0.05198,0.44608,0.47414,0.47015,0.35801,0.35948,0.16905,2.28333,1.52388,1.14936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16905,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
