epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,90.3019,0.97794,0.49679,0.82551,0,0,0,0,0,0,1.2736,0.05248,0.00575,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6748,0.25335,0,0,0.46677,0.06174,0.41513,0.46742,0.83403,0.7773,0.81664,0.5385,1.22608,0.57046,0.86143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5385,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,179.421,0.99559,0.5022,0.82598,0,0,0,0,0,0,0.32711,0.03994,0.00388,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56899,0.26084,0,0,0.46677,0.06181,0.41345,0.46742,0.83818,0.76903,0.81155,0.52596,1.27672,0.57859,0.86677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52596,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996
3,268.966,1.00036,0.50365,0.82855,0,0,0,0,0,0,0.3015,0.03219,0.0026,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55449,0.26977,0,0,0.46672,0.06175,0.41392,0.46742,0.85965,0.77308,0.82464,0.54494,1.22347,0.56568,0.8607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54494,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985
4,358.055,1.00969,0.50763,0.82819,0,0,0,0,0,0,0.29205,0.02686,0.00192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55702,0.27812,0,0,0.46672,0.06175,0.41342,0.46742,0.8316,0.77009,0.80785,0.53041,1.22762,0.56916,0.86026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53041,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966
5,447.029,1.00552,0.5057,0.82927,0,0,0,0,0,0,0.26571,0.02293,0.00159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56535,0.28889,0,0,0.46675,0.0618,0.41384,0.46744,0.82919,0.77193,0.81044,0.53114,1.22768,0.56712,0.85887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53114,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939
6,535.751,1.01484,0.50703,0.82902,0,0,0,0,0,0,0.25381,0.02004,0.00153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57462,0.29586,0,0,0.46679,0.06176,0.41418,0.46749,0.84133,0.77401,0.81438,0.53554,1.22278,0.56684,0.86047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53554,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905
7,624.307,1.01719,0.50979,0.82947,0,0,0,0,0,0,0.24824,0.01762,0.00139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58188,0.29848,0,0,0.46679,0.06178,0.41356,0.46749,0.84282,0.76906,0.81898,0.53231,1.26306,0.57575,0.86334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53231,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863
8,713.129,1.01086,0.50678,0.83017,0,0,0,0,0,0,0.24601,0.01592,0.00128,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59398,0.29956,0,0,0.46681,0.06173,0.41489,0.4675,0.83039,0.76825,0.80769,0.53019,1.23297,0.56587,0.8579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53019,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813
9,801.593,1.01855,0.50656,0.82947,0,0,0,0,0,0,0.2445,0.01432,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60345,0.29926,0,0,0.46681,0.06172,0.41409,0.46751,0.831,0.77082,0.81303,0.5401,1.20855,0.55647,0.85834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5401,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
10,890.738,1.0237,0.50936,0.82983,0,0,0,0,0,0,0.23187,0.01314,0.00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60653,0.29633,0,0,0.46679,0.0618,0.41422,0.46749,0.83806,0.77456,0.81753,0.53985,1.21643,0.56217,0.85594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53985,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691
