epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,136.912,0.99916,0.50596,0.82798,0,0,0,0,0,0,6.49249,0.05084,0.00853,0.00236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56013,0.23615,0,0,0.48649,0.06568,0.4978,0.48425,0.85311,0.78172,0.82384,0.53131,1.19388,0.55343,0.85835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53131,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,251.501,1.2177,0.62063,0.87146,0,0,0,0,0,0,2.75921,0.04051,0.00698,0.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54928,0.24918,0,0,0.48648,0.06573,0.49755,0.48413,0.74629,0.6984,0.73101,0.39299,1.53478,0.75865,0.94801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39299,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,376.331,1.77919,1.04137,1.02865,0,0,0,0,0,0,4.09881,0.02898,0.00601,0.00285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55931,0.30324,0,0,0.48648,0.06571,0.49233,0.48329,0.46282,0.34202,0.31195,0.11309,2.38572,1.53153,1.20871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11309,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,510.08,2.34299,1.59238,1.21834,0,0,0,0,0,0,3.22889,0.01974,0.00645,0.00265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65766,0.32262,0,0,0.48659,0.06571,0.48569,0.48009,0.41969,0.30506,0.26112,0.0994,2.4799,1.74065,1.23662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,628.369,2.34479,1.59419,1.2263,0,0,0,0,0,0,2.15989,0.02679,0.0071,0.00298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63555,0.33355,0,0,0.4864,0.06574,0.48509,0.47901,0.4312,0.3673,0.3491,0.15125,2.38467,1.70847,1.18285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15125,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,757.302,2.18846,1.40959,1.16158,0,0,0,0,0,0,0.46037,0.04181,0.00974,0.00053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97213,0.48128,0,0,0.48647,0.06567,0.48471,0.48334,0.48421,0.37466,0.37552,0.16038,2.32643,1.52249,1.17873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16038,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,879.685,2.13389,1.31984,1.13315,0,0,0,0,0,0,0.42773,0.04533,0.01021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27139,0.58019,0,0,0.48646,0.06574,0.48758,0.48597,0.48818,0.40132,0.39197,0.16981,2.29145,1.56723,1.15714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16981,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,983.347,2.07074,1.26789,1.10989,0,0,0,0,0,0,0.35314,0.04457,0.01034,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33516,0.62658,0,0,0.4865,0.06574,0.4868,0.48599,0.46977,0.41434,0.40724,0.20836,2.21957,1.40202,1.13304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20836,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1099.99,2.02637,1.22097,1.09295,0,0,0,0,0,0,0.36748,0.04415,0.01024,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38642,0.66559,0,0,0.48629,0.06565,0.48477,0.48547,0.58465,0.47621,0.50074,0.24868,2.13719,1.25476,1.08533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24868,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1206.44,2.00265,1.18773,1.08001,0,0,0,0,0,0,0.28849,0.04397,0.01075,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40056,0.67847,0,0,0.48635,0.06567,0.48327,0.48556,0.53405,0.44542,0.45459,0.21894,2.24155,1.3639,1.13177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21894,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
