epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,311.123,2.21553,1.99414,1.31265,0.66107,0.30736,0.38307,0.14535,2.41467,1.67578,1.17369,0.00997821,0.00332607,0.00997821,0.00332607,0.00997821,0.00332607,0.00997821,0.00332607
2,577.713,2.23793,1.5364,1.20537,0.51083,0.45131,0.41697,0.15279,2.20279,1.60391,1.1803,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938,0.0199781,0.00665938
3,841.038,2.37293,1.66548,1.27805,0.35564,0.3376,0.24789,0.08584,2.45815,3.4193,1.32281,0.0299778,0.00999259,0.0299778,0.00999259,0.0299778,0.00999259,0.0299778,0.00999259
4,1085.19,2.40542,1.71877,1.31512,0.48524,0.3911,0.36185,0.12863,2.31638,1.71106,1.26247,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,1326.07,2.24325,1.51551,1.25937,0.59793,0.4988,0.5167,0.20746,2.19539,1.44677,1.19566,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1577.88,2.15192,1.39852,1.21528,0.64541,0.51745,0.54177,0.21976,2.09292,1.42935,1.16055,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1828.07,2.09805,1.31297,1.19461,0.59632,0.55894,0.54968,0.23086,2.03445,1.25953,1.13436,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,2062.77,2.02921,1.25596,1.16739,0.63386,0.52721,0.5542,0.24779,2.03647,1.25453,1.12927,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,2304.88,2.00185,1.20923,1.15805,0.6794,0.62496,0.65078,0.29548,1.89967,1.13522,1.07522,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,2551.78,1.96156,1.16132,1.13622,0.69628,0.62796,0.66023,0.30276,1.89278,1.08388,1.07958,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,2795.41,1.93353,1.13173,1.12295,0.70577,0.65348,0.67986,0.31419,1.86829,1.09858,1.07111,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,3042.58,1.91257,1.11894,1.11485,0.70905,0.62738,0.66366,0.31928,1.86882,1.07609,1.06801,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,3284.98,1.88901,1.09596,1.09824,0.73617,0.66459,0.70147,0.32542,1.90165,1.04306,1.0672,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,3532.95,1.86918,1.06896,1.08615,0.76401,0.68075,0.71866,0.35291,1.79934,0.98985,1.03871,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,3782.8,1.8557,1.04686,1.08407,0.77185,0.71328,0.75361,0.37171,1.76188,0.95533,1.02972,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
