epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,153.532,2.2554,2.36915,1.36023,0.4686,0.39587,0.36863,0.14449,2.18798,1.59183,1.14458,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,265.952,2.1801,1.49442,1.14464,0.482,0.30078,0.30681,0.12014,2.36219,2.07517,1.21172,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,406.873,2.37058,1.69469,1.2385,0.21664,0.28094,0.11811,0.03711,nan,nan,nan,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,509.084,2.39287,1.68777,1.28692,0.3785,0.34941,0.28434,0.09139,2.38957,1.83316,1.27672,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,630.445,2.25139,1.50462,1.23612,0.49053,0.41582,0.39091,0.14377,2.24977,1.77252,1.22433,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,743.364,2.1775,1.40336,1.20594,0.60599,0.50093,0.52229,0.21998,2.10935,1.6058,1.1589,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,849.873,2.12767,1.33884,1.18162,0.57908,0.52405,0.4919,0.20925,2.08419,1.5766,1.14468,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,946.827,2.06135,1.28267,1.16327,0.6431,0.52014,0.54632,0.22473,2.05392,1.39663,1.14708,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1044.36,2.03336,1.23285,1.14924,0.63832,0.55032,0.55769,0.2294,2.05508,1.38531,1.14105,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1146.72,1.98843,1.19581,1.13356,0.64689,0.60151,0.60318,0.26571,1.91176,1.1707,1.08796,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,1248.08,1.96324,1.18316,1.11643,0.66162,0.60628,0.61985,0.27771,1.93347,1.17221,1.08234,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,1350.45,1.94711,1.13875,1.10184,0.7498,0.64462,0.68474,0.31178,1.87106,1.08117,1.0586,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,1446.72,1.92348,1.11953,1.09932,0.7306,0.63558,0.68036,0.31229,1.89383,1.12044,1.06553,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,1552.75,1.90873,1.10107,1.08874,0.72658,0.64241,0.67637,0.32636,1.81957,1.03083,1.04109,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
15,1668.2,1.89311,1.08608,1.0831,0.71668,0.65905,0.69615,0.33371,1.82832,1.00746,1.03841,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
16,1763.09,1.87623,1.05814,1.07279,0.74467,0.67755,0.70164,0.33123,1.8199,1.00179,1.04214,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141,0.0299742,0.00999141
17,1859.12,1.84724,1.04539,1.06232,0.76352,0.67078,0.71064,0.34044,1.81979,1.02813,1.03448,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
18,1974.9,1.83589,1.02804,1.05924,0.75252,0.67828,0.71628,0.34745,1.78634,0.97297,1.02226,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897,0.0299669,0.00998897
19,2073.01,1.83133,1.02156,1.05974,0.7731,0.71075,0.75451,0.37247,1.75969,0.96133,1.01166,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
20,2167.72,1.81257,1.01456,1.04931,0.76694,0.70534,0.75022,0.37652,1.72234,0.95518,1.01259,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623,0.0299587,0.00998623
21,2274.7,1.79983,0.99768,1.04748,0.77251,0.71281,0.75461,0.37626,1.73564,0.93872,1.01649,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
22,2371.94,1.79028,0.98298,1.04371,0.78803,0.72071,0.76768,0.38678,1.69764,0.919,0.99914,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318,0.0299495,0.00998318
23,2474.34,1.7848,0.97563,1.04169,0.78902,0.72378,0.77894,0.38909,1.71571,0.88751,1.00328,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
24,2554.53,1.77734,0.96841,1.03737,0.78809,0.72415,0.77319,0.38996,1.69875,0.89221,1.00103,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982,0.0299395,0.00997982
