epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,230.207,2.74553,2.98503,1.59794,0.58271,0.19738,0.14813,0.05231,2.68239,2.25643,1.27955,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,453.878,2.70977,2.13714,1.37655,0.52044,0.1986,0.13557,0.04984,2.89466,4.42706,1.44569,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,669.077,2.90028,2.33223,1.49047,0.42015,0.08988,0.03429,0.01068,3.30437,13.2145,1.92768,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,873.533,2.92036,2.34055,1.52789,0.18084,0.17739,0.11271,0.03467,2.88945,2.56586,1.49134,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,1059.36,2.78735,2.15592,1.48219,0.29852,0.18021,0.15702,0.05825,2.84218,2.17362,1.39592,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1262.07,2.70646,2.05459,1.42799,0.30497,0.251,0.21208,0.08255,2.66759,2.07337,1.35632,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1467.95,2.64536,1.97342,1.39992,0.40643,0.23463,0.24123,0.09416,2.56602,1.8981,1.30344,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1676.37,2.57757,1.91106,1.36851,0.65429,0.1855,0.18597,0.07463,2.73322,2.21089,1.40011,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1865.34,2.54724,1.84821,1.35256,0.48435,0.27626,0.28278,0.11569,2.48075,1.69723,1.26276,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,2053.61,2.51294,1.81112,1.33482,0.40489,0.31925,0.29689,0.12406,2.43299,1.6799,1.25878,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
11,2251.96,2.47444,1.75996,1.32136,0.3814,0.29917,0.27165,0.1143,2.58906,1.92766,1.29747,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
12,2437.53,2.46479,1.73242,1.2984,0.43353,0.31907,0.30675,0.13123,2.45522,1.74087,1.23431,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538,0.0299861,0.00999538
13,2625.7,2.44002,1.71405,1.2933,0.4841,0.33588,0.33139,0.14789,2.38402,1.58779,1.22932,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
14,2816.78,2.40323,1.65175,1.27332,0.45263,0.35059,0.33688,0.15022,2.38443,1.59761,1.21483,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355,0.0299807,0.00999355
