epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,171.767,0.63219,0.30837,0.79445,0,0.00708,0.00014,0.00117,0.15314,0.26918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117,2.6584,2.65724,0,0,2.10608,0.49287,0.5222,0.05861,0.4933,0.50859,0.93954,0.89446,0.92879,0.63913,1.04461,0.45169,0.84681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63913,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003
2,350.297,0.63314,0.3081,0.79196,0,0.00713,0.00013,0.00113,0.15314,0.26794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113,2.66341,2.66228,0,0,2.09225,0.48967,0.5222,0.0586,0.49332,0.50858,0.94233,0.90072,0.9345,0.64276,1.06595,0.45375,0.85599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64276,0.00088218,0.00029406,0.00088218,0.00029406,0.00088218,0.00029406,0.00088218,0.00029406
3,539.867,0.63353,0.30999,0.79253,0,0.0071,0.00013,0.00111,0.15314,0.27025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111,2.66001,2.6589,0,0,2.11482,0.4865,0.52225,0.0586,0.49157,0.50832,0.94184,0.88776,0.92708,0.63817,1.04624,0.45753,0.84725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63817,0.00086436,0.00028812,0.00086436,0.00028812,0.00086436,0.00028812,0.00086436,0.00028812
4,724.718,0.63006,0.30546,0.79208,0,0.00704,0.00013,0.00109,0.15313,0.26533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,2.66286,2.66177,0,0,2.0898,0.48339,0.52235,0.05862,0.49318,0.50819,0.94578,0.89605,0.93355,0.64707,1.04383,0.44791,0.84898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64707,0.00084654,0.00028218,0.00084654,0.00028218,0.00084654,0.00028218,0.00084654,0.00028218
5,906.562,0.63714,0.30796,0.79384,0,0.00706,0.00013,0.00108,0.15313,0.26713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108,2.66463,2.66355,0,0,2.08372,0.47956,0.52243,0.05873,0.49199,0.50802,0.93078,0.8951,0.9258,0.63415,1.05979,0.45295,0.85306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63415,0.00082872,0.00027624,0.00082872,0.00027624,0.00082872,0.00027624,0.00082872,0.00027624
6,1090.29,0.62823,0.30692,0.79352,0,0.00701,0.00013,0.00107,0.15313,0.26658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107,2.66366,2.66259,0,0,2.08583,0.47634,0.5226,0.05869,0.49199,0.50787,0.94486,0.89795,0.93421,0.64351,1.05503,0.44908,0.84824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64351,0.0008109,0.0002703,0.0008109,0.0002703,0.0008109,0.0002703,0.0008109,0.0002703
7,1272.12,0.62798,0.30735,0.79236,0,0.00701,0.00013,0.00104,0.15313,0.26557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104,2.66067,2.65963,0,0,2.09979,0.4739,0.52331,0.05876,0.4925,0.50843,0.9413,0.89459,0.93022,0.64043,1.0454,0.44867,0.84752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64043,0.00079308,0.00026436,0.00079308,0.00026436,0.00079308,0.00026436,0.00079308,0.00026436
8,1456.54,0.63003,0.3063,0.79028,0,0.00702,0.00013,0.00105,0.15313,0.26472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105,2.6662,2.66515,0,0,2.08377,0.47112,0.52382,0.05893,0.4938,0.50867,0.94544,0.89748,0.93528,0.64184,1.05757,0.45628,0.85016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64184,0.00077526,0.00025842,0.00077526,0.00025842,0.00077526,0.00025842,0.00077526,0.00025842
9,1639.64,0.62747,0.30513,0.79299,0,0.00699,0.00012,0.00102,0.15312,0.26429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102,2.66652,2.66549,0,0,2.09284,0.46772,0.52412,0.05889,0.49349,0.50845,0.94256,0.8876,0.92662,0.63505,1.06075,0.45255,0.85053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63505,0.00075744,0.00025248,0.00075744,0.00025248,0.00075744,0.00025248,0.00075744,0.00025248
10,1822.64,0.62644,0.30487,0.79207,0,0.007,0.00012,0.00103,0.15312,0.26475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103,2.66636,2.66534,0,0,2.09522,0.46553,0.52443,0.05898,0.49436,0.50834,0.94381,0.89656,0.93266,0.64515,1.03919,0.44762,0.84719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64515,0.00073962,0.00024654,0.00073962,0.00024654,0.00073962,0.00024654,0.00073962,0.00024654
