epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,43.2379,0,0,0,0,0.01286,0.0006,0.00215,0.15328,0.38536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215,2.43959,2.43744,0,0,1.21325,0.42092,0.46929,0.06302,0.41096,0.47,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55425,0.000474262,0.000474262,0.000474262
2,82.8095,0,0,0,0,0.01297,0.00058,0.00269,0.15336,0.38978,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.00269,2.41814,2.41545,0,0,1.2913,0.41061,0.47089,0.06407,0.41072,0.47165,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55939,0.000856487,0.000856487,0.000856487
3,122.082,0,0,0,0,0.01299,0.00066,0.00345,0.15347,0.39194,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0.00345,2.4099,2.40646,0,0,1.49986,0.43814,0.47173,0.06364,0.41583,0.47247,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.56252,0.0011444,0.0011444,0.0011444
4,161.47,0,0,0,0,0.01268,0.00054,0.00342,0.15347,0.39117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342,2.42515,2.42172,0,0,1.67209,0.48861,0.47122,0.06276,0.41635,0.47194,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.56128,0.00100459,0.00100459,0.00100459
5,200.804,0,0,0,0,0.01233,0.00059,0.00321,0.15344,0.38845,0,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0.00321,2.37762,2.37441,0,0,1.89795,0.509,0.4691,0.06311,0.41966,0.46977,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55805,0.000863116,0.000863116,0.000863116
6,240.439,0,0,0,0,0.01192,0.00051,0.0028,0.15338,0.38537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,2.34902,2.34621,0,0,1.74902,0.48122,0.47337,0.06291,0.42547,0.47403,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55398,0.000721645,0.000721645,0.000721645
7,279.723,0,0,0,0,0.01161,0.00048,0.00242,0.15332,0.38302,0,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0.00242,2.37641,2.37399,0,0,1.62401,0.44549,0.47334,0.06206,0.42312,0.47403,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55088,0.000580174,0.000580174,0.000580174
8,319.198,0,0,0,0,0.0114,0.00048,0.00215,0.15328,0.38031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215,2.37893,2.37677,0,0,1.58819,0.4856,0.47117,0.06211,0.42022,0.47187,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54762,0.000438703,0.000438703,0.000438703
9,359.085,0,0,0,0,0.01119,0.00046,0.00185,0.15324,0.37529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185,2.3614,2.35955,0,0,1.55412,0.44464,0.47022,0.06134,0.41878,0.47093,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54203,0.000297232,0.000297232,0.000297232
10,399.098,0,0,0,0,0.01104,0.00046,0.00165,0.15321,0.3756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165,2.3694,2.36774,0,0,1.57034,0.43114,0.46827,0.06156,0.41798,0.46897,0.85697,0.78687,0.83158,0.55795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54196,0.000155761,0.000155761,0.000155761
