epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2
1,59.4514,0,0,0,0,0.02084,0.00121,0.58014,0.3103,21.4004,0,0,0,0,0.00026,0,0,0,0,0,0,0,0,0,0.58014,2.32159,1.74145,0,0,0.67311,0.29278,0.46497,0.05612,0.40575,0.44133,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.3132,0.000474262,0.000474262,0.000474262
2,120.457,0,0,0,0,0.01239,0.00052,0.01613,0.15529,0.45247,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0.01613,2.34312,2.32699,0,0,0.86609,0.35744,0.45145,0.04655,0.38463,0.43504,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63688,0.000856487,0.000856487,0.000856487
3,180.132,0,0,0,0,0.01066,0.0006,0.00956,0.15435,0.3438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00956,2.33479,2.32524,0,0,1.03211,0.42015,0.45318,0.04796,0.38709,0.43308,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51897,0.0011444,0.0011444,0.0011444
4,241.377,0,0,0,0,0.00944,0.00031,0.00647,0.1539,0.32934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00647,2.34376,2.33729,0,0,0.96863,0.43337,0.45529,0.0506,0.38491,0.43032,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.49946,0.00100459,0.00100459,0.00100459
5,300.914,0,0,0,0,0.00868,0.00035,0.00462,0.15364,0.31501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462,2.34258,2.33796,0,0,0.98033,0.43713,0.45661,0.05182,0.38715,0.43308,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4823,0.000863116,0.000863116,0.000863116
6,360.187,0,0,0,0,0.00899,0.00047,0.00372,0.15351,0.30852,0,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0.00372,2.32976,2.32604,0,0,1.22482,0.5249,0.47581,0.05761,0.39385,0.44077,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.47524,0.000721645,0.000721645,0.000721645
7,419.713,0,0,0,0,0.00823,0.00049,0.00282,0.15338,0.30442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282,2.34509,2.34227,0,0,1.09591,0.47537,0.47212,0.05847,0.38777,0.43555,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46934,0.000580174,0.000580174,0.000580174
8,478.731,0,0,0,0,0.0078,0.00056,0.00239,0.15332,0.29816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239,2.33752,2.33513,0,0,1.08821,0.48221,0.47237,0.05882,0.39366,0.43785,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46223,0.000438703,0.000438703,0.000438703
9,538.095,0,0,0,0,0.00755,0.00041,0.00197,0.15326,0.29631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197,2.34282,2.34085,0,0,1.06914,0.46953,0.46934,0.05793,0.38764,0.43541,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4595,0.000297232,0.000297232,0.000297232
10,597.777,0,0,0,0,0.00742,0.00064,0.00167,0.15322,0.29392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,2.34263,2.34095,0,0,0.99539,0.43299,0.46951,0.05693,0.38461,0.43346,0.9317,0.86411,0.9096,0.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45687,0.000155761,0.000155761,0.000155761
