epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,127.217,0.71187,0.35146,0.79894,0,0.00732,0.00032,0.00152,0.15319,0.29086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152,2.34365,2.34212,0,0,0.94317,0.40009,0.46846,0.0571,0.38026,0.43087,0.92872,0.86216,0.90716,0.62317,1.04659,0.45466,0.83992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62317,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003,0.0009,0.0003
2,254.088,0.71333,0.35205,0.79827,0,0.00728,0.00022,0.00149,0.15319,0.2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149,2.34333,2.34184,0,0,0.88102,0.36058,0.46857,0.05708,0.37822,0.42893,0.92776,0.86815,0.91051,0.62773,1.04271,0.45163,0.84002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62773,0.000831462,0.000277154,0.000831462,0.000277154,0.000831462,0.000277154,0.000831462,0.000277154
3,381.971,0.71531,0.3513,0.79633,0,0.00725,0.00021,0.00145,0.15318,0.28794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145,2.33982,2.33837,0,0,0.87944,0.35668,0.46841,0.05713,0.37745,0.42853,0.92559,0.86733,0.90754,0.62567,1.03639,0.4553,0.8384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62567,0.000762923,0.000254308,0.000762923,0.000254308,0.000762923,0.000254308,0.000762923,0.000254308
4,508.722,0.71719,0.35218,0.79762,0,0.00723,0.0002,0.00143,0.15318,0.28851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143,2.33762,2.33618,0,0,0.89362,0.35605,0.46851,0.05708,0.37839,0.4286,0.92686,0.86823,0.90995,0.63013,1.02296,0.44755,0.83729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63013,0.000694385,0.000231462,0.000694385,0.000231462,0.000694385,0.000231462,0.000694385,0.000231462
5,634.374,0.70737,0.34885,0.79767,0,0.00722,0.0002,0.0014,0.15318,0.28629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,2.33684,2.33544,0,0,0.90204,0.35505,0.46859,0.05693,0.37766,0.42838,0.92519,0.86182,0.9052,0.61997,1.0598,0.46246,0.84215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61997,0.000625846,0.000208615,0.000625846,0.000208615,0.000625846,0.000208615,0.000625846,0.000208615
6,760.336,0.70765,0.34838,0.7968,0,0.00719,0.00018,0.00137,0.15317,0.28551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137,2.33521,2.33384,0,0,0.91027,0.35441,0.46857,0.05705,0.37818,0.42853,0.92541,0.8642,0.90901,0.6226,1.04995,0.45419,0.83981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6226,0.000557308,0.000185769,0.000557308,0.000185769,0.000557308,0.000185769,0.000557308,0.000185769
7,891.712,0.70803,0.34722,0.7964,0,0.00717,0.00019,0.00136,0.15317,0.28525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,2.33385,2.33248,0,0,0.91056,0.3535,0.46839,0.05704,0.37739,0.42827,0.92585,0.86382,0.90657,0.62287,1.04618,0.45293,0.83905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62287,0.000488769,0.000162923,0.000488769,0.000162923,0.000488769,0.000162923,0.000488769,0.000162923
8,1023.57,0.69722,0.34432,0.79595,0,0.00717,0.00018,0.00134,0.15317,0.28279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134,2.33369,2.33235,0,0,0.91154,0.35267,0.46833,0.0571,0.37767,0.42819,0.92751,0.87055,0.91123,0.62962,1.03409,0.44943,0.83921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62962,0.000420231,0.000140077,0.000420231,0.000140077,0.000420231,0.000140077,0.000420231,0.000140077
9,1154.68,0.70456,0.34535,0.79463,0,0.00715,0.00018,0.00132,0.15316,0.28294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132,2.33209,2.33078,0,0,0.92085,0.35184,0.46827,0.05706,0.37703,0.42806,0.92776,0.86816,0.90919,0.62638,1.04078,0.44945,0.84007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62638,0.000351692,0.000117231,0.000351692,0.000117231,0.000351692,0.000117231,0.000351692,0.000117231
10,1285.67,0.69803,0.34449,0.79594,0,0.00714,0.00018,0.00132,0.15317,0.28352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132,2.3317,2.33038,0,0,0.91935,0.35171,0.46804,0.05726,0.37769,0.42802,0.92812,0.86578,0.90864,0.62458,1.03906,0.4509,0.8394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62458,0.000283154,9.43846e-05,0.000283154,9.43846e-05,0.000283154,9.43846e-05,0.000283154,9.43846e-05
11,1416.64,0.69184,0.34287,0.79455,0,0.00714,0.00017,0.0013,0.15316,0.28387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,2.33089,2.32959,0,0,0.91825,0.35116,0.46821,0.05698,0.37673,0.42776,0.93153,0.86982,0.91123,0.62774,1.04682,0.45164,0.84065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62774,0.000214615,7.15385e-05,0.000214615,7.15385e-05,0.000214615,7.15385e-05,0.000214615,7.15385e-05
12,1548.12,0.69073,0.34124,0.79508,0,0.00713,0.00018,0.0013,0.15316,0.28217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,2.33165,2.33035,0,0,0.91792,0.35093,0.4681,0.05707,0.37671,0.42773,0.93287,0.86737,0.91166,0.62821,1.03487,0.44916,0.83942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62821,0.000146077,4.86923e-05,0.000146077,4.86923e-05,0.000146077,4.86923e-05,0.000146077,4.86923e-05
13,1683.9,0.69257,0.34248,0.79573,0,0.00712,0.00017,0.0013,0.15316,0.28296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,2.33159,2.33029,0,0,0.91618,0.35073,0.46803,0.05714,0.37658,0.42772,0.93407,0.86831,0.91234,0.63057,1.02723,0.44506,0.83874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63057,7.75385e-05,2.58462e-05,7.75385e-05,2.58462e-05,7.75385e-05,2.58462e-05,7.75385e-05,2.58462e-05
