epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,116.043,0.65842,0.33263,0.79496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46803,0.05711,0.37712,0.42772,0.93086,0.86847,0.911,0.62793,1.03331,0.44994,0.83867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62793,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,232.896,0.65953,0.33353,0.79447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46805,0.05714,0.37714,0.42778,0.93175,0.8671,0.91032,0.6248,1.05197,0.45266,0.8413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6248,0.000299949,9.9983e-05,0.000299949,9.9983e-05,0.000299949,9.9983e-05,0.000299949,9.9983e-05
3,354.214,0.66476,0.33317,0.79283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46798,0.05717,0.37643,0.42776,0.92679,0.86928,0.90889,0.62757,1.03437,0.45344,0.83854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62757,0.000299796,9.99322e-05,0.000299796,9.99322e-05,0.000299796,9.99322e-05,0.000299796,9.99322e-05
4,472.361,0.67045,0.3365,0.79437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46801,0.05714,0.37715,0.42774,0.92999,0.86593,0.90855,0.62606,1.04253,0.45081,0.84013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62606,0.000299542,9.98474e-05,0.000299542,9.98474e-05,0.000299542,9.98474e-05,0.000299542,9.98474e-05
5,589.91,0.66388,0.33405,0.7947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46816,0.057,0.37674,0.42764,0.92887,0.86372,0.90745,0.62221,1.05479,0.45619,0.84168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62221,0.000299187,9.97288e-05,0.000299187,9.97288e-05,0.000299187,9.97288e-05,0.000299187,9.97288e-05
6,707.182,0.66975,0.33545,0.79426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4681,0.05708,0.37708,0.42774,0.92967,0.86656,0.91085,0.62728,1.04083,0.44968,0.83927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62728,0.00029873,9.95765e-05,0.00029873,9.95765e-05,0.00029873,9.95765e-05,0.00029873,9.95765e-05
7,823.332,0.67509,0.33573,0.7941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46803,0.0571,0.37666,0.42768,0.93021,0.86679,0.90922,0.6246,1.04362,0.45031,0.83882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6246,0.000298172,9.93906e-05,0.000298172,9.93906e-05,0.000298172,9.93906e-05,0.000298172,9.93906e-05
8,940.988,0.66937,0.3347,0.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46801,0.05715,0.37703,0.42769,0.92929,0.86674,0.90884,0.62835,1.03812,0.44984,0.83981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62835,0.000297513,9.91711e-05,0.000297513,9.91711e-05,0.000297513,9.91711e-05,0.000297513,9.91711e-05
9,1058.09,0.68214,0.33769,0.79314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46803,0.05708,0.37648,0.42767,0.93013,0.86822,0.90992,0.62562,1.04183,0.45035,0.8404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62562,0.000296755,9.89183e-05,0.000296755,9.89183e-05,0.000296755,9.89183e-05,0.000296755,9.89183e-05
10,1175.43,0.68079,0.33838,0.79491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4679,0.05727,0.37733,0.4278,0.92888,0.86621,0.90867,0.625,1.03826,0.45163,0.83956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.000295897,9.86323e-05,0.000295897,9.86323e-05,0.000295897,9.86323e-05,0.000295897,9.86323e-05
