best,best_epoch,group,label,last,metric,model,phase,remote_run_dir,rows,run_id,server,tag
0.62859,10,repair,s_weakkd0p1_b120_b32retry2,0.62859,metrics/mAP50-95(B),s,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_a1_e10_b32_s0_gpu0,10,S1,main_4090,_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2
0.63331,4,repair,s_weakkd0p1_b120_b32retry2,0.62608,metrics/mAP50-95(B),s,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_a2_e13_b32_s0_gpu0,13,S1,main_4090,_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2
0.62827,10,repair,s_weakkd0p1_b120_b32retry2,0.62267,metrics/mAP50-95(B),s,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2_b_e120_b32_s0_gpu0,120,S1,main_4090,_fix_s_s0_a2lr3e4_short13_bweakKD0p1_b120_b32retry2
0.62878,10,repair,s_detonly_lr1e4_b120,0.62878,metrics/mAP50-95(B),s,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_a1_e10_b64_s0_gpu1,10,S2,main_4090,_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120
0.63057,13,repair,s_detonly_lr1e4_b120,0.63057,metrics/mAP50-95(B),s,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_a2_e13_b64_s0_gpu1,13,S2,main_4090,_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120
0.63125,13,repair,s_detonly_lr1e4_b120,0.62556,metrics/mAP50-95(B),s,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11s_formal_nomosaic_yolo11s_cap2_s0_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120_b_e120_b64_s0_gpu1,120,S2,main_4090,_fix_s_s0_a2lr3e4_short13_bdetonly_lr1e4_b120
0.55593,10,repair,n_weakkd0p25_b200,0.55593,metrics/mAP50-95(B),n,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200_a1_e10_b64_s0_gpu1,10,N1,main_4090,_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200
0.56217,13,repair,n_weakkd0p25_b200,0.56217,metrics/mAP50-95(B),n,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200_a2_e13_b64_s0_gpu1,13,N1,main_4090,_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200
0.56476,197,repair,n_weakkd0p25_b200,0.56419,metrics/mAP50-95(B),n,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200_b_e200_b64_s0_gpu1,200,N1,main_4090,_fix_n_s0_a2lr3e4_short13_bweakKD0p25_b200
0.65533,10,m_short,m_lr3e4_short4_b1,0.65533,metrics/mAP50-95(B),m,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_a1_e10_b32_s0_gpu1,10,M1,main_4090,_fix_m_s0_a2lr3e4_short4_b1
0.64325,4,m_short,m_lr3e4_short4_b1,0.64325,metrics/mAP50-95(B),m,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_a2_e4_b32_s0_gpu1,4,M1,main_4090,_fix_m_s0_a2lr3e4_short4_b1
0.62839,1,m_short,m_lr3e4_short4_b1,0.62839,metrics/mAP50-95(B),m,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr3e4_short4_b1_b_e1_b32_s0_gpu1,1,M1,main_4090,_fix_m_s0_a2lr3e4_short4_b1
0.65533,10,m_short,m_lr1e4_short5_b1,0.65533,metrics/mAP50-95(B),m,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_a1_e10_b32_s0_gpu1,10,M2,main_4090,_fix_m_s0_a2lr1e4_short5_b1
0.64735,2,m_short,m_lr1e4_short5_b1,0.64416,metrics/mAP50-95(B),m,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_a2_e5_b32_s0_gpu1,5,M2,main_4090,_fix_m_s0_a2lr1e4_short5_b1
0.6283,1,m_short,m_lr1e4_short5_b1,0.6283,metrics/mAP50-95(B),m,unknown,/root/shared-nvme/LADD_public_p1/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11m/cap2/ladd_hbb_ogsod11m_formal_nomosaic_yolo11m_cap2_s0_fix_m_s0_a2lr1e4_short5_b1_b_e1_b32_s0_gpu1,1,M2,main_4090,_fix_m_s0_a2lr1e4_short5_b1
