epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.5249,1.00893,0.50796,0.83033,0,0.01224,0.00224,0.1533,0.38757,10.592,0.05071,0.00224,2.6207,2.61846,0.49639,0.06359,0.49997,0.49062,0.83264,0.76901,0.81214,0.51638,1.27108,0.57387,0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51638,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,197.683,1.20185,0.61228,0.86938,0,0.01185,0.00254,0.15334,0.4371,2.98967,0.04069,0.00254,2.62259,2.62005,0.49568,0.06379,0.49871,0.49045,0.73889,0.68609,0.71903,0.39779,1.53385,0.76726,0.93106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39779,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,296.091,1.74131,1.00167,1.01875,0,0.01116,0.00396,0.15354,0.57438,3.89291,0.02827,0.00396,2.61808,2.61412,0.49553,0.06381,0.495,0.48998,0.42207,0.29279,0.26218,0.10056,2.51521,1.62429,1.25764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10056,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,395.617,2.03809,1.26474,1.10498,0,0.01027,0.00684,0.15396,0.64691,0.93161,0.0172,0.00684,2.51457,2.50773,0.49426,0.06611,0.47244,0.46804,0.51625,0.42084,0.40396,0.17888,2.32621,1.62273,1.15009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17888,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,493.97,2.00159,1.20054,1.08334,0,0.00938,0.00535,0.15374,0.62334,0.70233,0.01151,0.00535,2.46682,2.46147,0.49263,0.06636,0.46602,0.44993,0.51601,0.43397,0.42643,0.19344,2.23798,1.38975,1.12379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19344,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,591.007,1.96639,1.15683,1.07333,0,0.00867,0.00519,0.15372,0.60931,0.67527,0.00902,0.00519,2.46811,2.46292,0.49419,0.06641,0.47166,0.45099,0.57054,0.38651,0.43076,0.2125,2.23236,1.32524,1.11817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2125,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,689.535,1.95613,1.14532,1.06686,0,0.00817,0.00488,0.15367,0.60606,0.6735,0.00804,0.00488,2.46402,2.45914,0.49272,0.06612,0.46575,0.44798,0.54301,0.49768,0.49894,0.24492,2.15797,1.26494,1.10771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24492,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,788.035,1.94382,1.11687,1.06591,0,0.0078,0.00462,0.15364,0.59941,0.67167,0.00743,0.00462,2.4627,2.45808,0.49382,0.0651,0.46873,0.44883,0.57713,0.50565,0.51633,0.25407,2.12181,1.21234,1.09392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25407,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,888.728,1.9195,1.10075,1.04744,0,0.00748,0.00442,0.15361,0.59107,0.63465,0.00701,0.00442,2.47185,2.46743,0.49476,0.06509,0.47345,0.44945,0.58159,0.53544,0.54966,0.28792,1.98944,1.13473,1.04642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28792,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,988.202,1.90909,1.08735,1.04773,0,0.00724,0.00445,0.15361,0.59148,0.62483,0.00671,0.00445,2.4704,2.46596,0.49631,0.06575,0.47904,0.45105,0.5604,0.51158,0.51147,0.2713,2.04855,1.19386,1.06452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2713,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
