epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,111.168,0.7652,0.38008,0.80247,0,0.00684,0.00161,0.15321,0.30521,15.8008,0.03808,0.00161,2.34587,2.34426,0.46064,0.05595,0.38099,0.42755,0.91792,0.85943,0.90233,0.6108,1.09277,0.47329,0.84428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6108,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,220.524,0.86885,0.42923,0.81432,0,0.00662,0.00157,0.1532,0.32386,1.69305,0.02414,0.00157,2.34003,2.33846,0.46015,0.05604,0.38082,0.42712,0.86416,0.80854,0.84149,0.5391,1.23398,0.56161,0.86901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5391,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,327.396,1.18024,0.59718,0.86851,0,0.00622,0.00194,0.15325,0.4008,1.76808,0.01547,0.00194,2.33264,2.33069,0.459,0.05547,0.37881,0.4256,0.75584,0.6731,0.71276,0.38708,1.59862,0.84589,0.95288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38708,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,436.09,1.66914,0.93589,0.98917,0,0.00577,0.00281,0.15338,0.51628,2.06655,0.01,0.00281,2.3221,2.31929,0.45866,0.05516,0.3791,0.4255,0.62962,0.53884,0.54856,0.24729,2.02059,1.1858,1.07125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24729,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,544.741,1.75156,0.99732,1.01183,0,0.00542,0.00307,0.15341,0.5346,1.8349,0.00801,0.00307,2.31943,2.31636,0.45923,0.05562,0.38466,0.42614,0.6126,0.53053,0.53884,0.27933,1.92419,1.1621,1.0368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27933,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,653.29,1.75631,0.98443,1.00998,0,0.00512,0.00314,0.15342,0.53224,1.63049,0.00718,0.00314,2.3324,2.32926,0.46149,0.05591,0.38624,0.42957,0.54436,0.57698,0.55728,0.2737,1.93436,1.08388,1.03147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2737,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,763.804,1.76171,0.97974,1.00676,0,0.00488,0.00307,0.15341,0.53053,1.5189,0.00664,0.00307,2.32746,2.3244,0.46166,0.0559,0.38541,0.42999,0.58874,0.54095,0.54666,0.27096,2.06009,1.1735,1.06749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27096,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,871.75,1.73612,0.947,1.00055,0,0.00471,0.00313,0.15342,0.52404,1.37428,0.00631,0.00313,2.33086,2.32773,0.46222,0.05628,0.38744,0.43072,0.65381,0.62386,0.6174,0.30387,1.88083,1.04833,1.02347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30387,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,979.439,1.7227,0.93213,0.99197,0,0.00456,0.00302,0.15341,0.5177,1.29111,0.00601,0.00302,2.32404,2.32102,0.46268,0.05671,0.38901,0.43118,0.71566,0.644,0.67029,0.35665,1.77596,0.92562,0.98732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35665,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1088.84,1.70033,0.91641,0.98669,0,0.00443,0.00292,0.15339,0.51451,1.22404,0.00578,0.00292,2.33321,2.33029,0.46405,0.057,0.38676,0.43335,0.7124,0.62417,0.66096,0.35843,1.79244,0.96249,0.98891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35843,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
