epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,221.126,1.56666,1.02796,1.02594,0,0.00669,0.0025,0.15339,0.60515,40.7415,0.03501,0.0025,2.28239,2.27989,0.50911,0.06636,0.46387,0.50269,0.85445,0.82263,0.85555,0.5159,1.25325,0.57723,0.86845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5159,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,427.957,1.48594,0.8566,0.98405,0,0.00648,0.00158,0.1532,0.60584,8.11884,0.02284,0.00158,2.28,2.27842,0.50908,0.06648,0.46458,0.50227,0.87597,0.81769,0.86859,0.51977,1.24136,0.62875,0.88136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51977,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,641.15,1.77516,1.09462,1.04965,0,0.00612,0.00157,0.1532,0.66882,7.83881,0.01392,0.00157,2.28146,2.27989,0.50879,0.06634,0.46333,0.5016,0.5696,0.52138,0.5032,0.22763,1.93537,1.27308,1.09148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22763,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,849.764,2.23611,1.548,1.22352,0,0.00571,0.00178,0.15323,0.79708,7.67338,0.00731,0.00178,2.29117,2.28939,0.50722,0.0668,0.46001,0.49943,0.49574,0.28574,0.2844,0.11614,2.29611,1.59306,1.22913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11614,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,1060.83,2.33081,1.65742,1.25123,0,0.00532,0.00209,0.15335,0.8338,6.79949,0.00532,0.00209,2.27889,2.2768,0.50908,0.06809,0.46103,0.5026,0.36462,0.26937,0.2377,0.09242,2.47148,1.89842,1.28363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09242,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1270.29,2.3197,1.61478,1.24033,0,0.00502,0.00195,0.15326,0.8239,6.1035,0.00462,0.00195,2.285,2.28305,0.51071,0.06925,0.4677,0.50531,0.50983,0.40758,0.39351,0.159,2.22138,1.47571,1.19601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1481.28,2.27364,1.58425,1.21887,0,0.00479,0.00207,0.15327,0.81536,5.64496,0.00424,0.00207,2.27958,2.27751,0.5099,0.0698,0.47038,0.50417,0.47,0.34749,0.32962,0.14119,2.31992,1.54073,1.21664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14119,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1692.52,2.2601,1.57106,1.21705,0,0.00461,0.00215,0.15328,0.81939,5.23684,0.00399,0.00215,2.28431,2.28217,0.50874,0.06959,0.466,0.50268,0.47673,0.40626,0.38652,0.16063,2.25415,1.60292,1.19222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16063,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1899.15,2.22479,1.53111,1.20567,0,0.00448,0.00214,0.15328,0.80687,4.77541,0.00382,0.00214,2.28281,2.28067,0.50919,0.0692,0.46739,0.50342,0.50022,0.37287,0.37614,0.16067,2.30969,1.51132,1.18825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16067,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,2105.63,2.19096,1.47444,1.17883,0,0.00433,0.00219,0.15329,0.78979,4.25121,0.00369,0.00219,2.29644,2.29426,0.51391,0.06889,0.46794,0.5107,0.52644,0.45792,0.43028,0.18611,2.16163,1.3535,1.15007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18611,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
