field,required,description
dataset,yes,OGSOD-1.0 / VEDAI / DroneVehicle
task,yes,hbb/obb
protocol_id,yes,canonical paper protocol id
method,yes,canonical method key
method_display,yes,paper display name
model_size,yes,n/s/m/l/x
seed,yes,0/42/123 for OGSOD main table
init_type,yes,yolo_pretrain / sar_baseline / transferred_kd / from_yolo_pretrain / standalone / online
student_modality,yes,SAR/RGB/IR
teacher_modality,no,RGB/IR/none
inference_modality,yes,SAR/RGB/IR
imgsz,yes,input size
epochs,yes,total paper epochs
batch,yes,batch size
mosaic,yes,mosaic value
close_mosaic,yes,close_mosaic value
phase_chain,yes,A->B / B-only / online / standalone / baseline
ladd_mode,no,dynamic_probe for LADD main rows
run_tag,yes,run tag
project_dir,yes,project directory
results_csv,yes,path to results.csv
args_yaml,yes,path to args.yaml
manifest,yes,path to manifest/meta
data_yaml,no,path to student/inference dataset yaml
teacher_data_yaml,no,path to teacher modality dataset yaml
student_data_yaml,no,path to student dataset yaml when distinct from data_yaml
git_commit,yes,git commit
best_ap50_95,yes,best AP50-95
best_ap50,no,best AP50
final_ap50_95,yes,final AP50-95
final_ap50,no,final AP50
best_epoch,yes,best epoch
status,yes,verified/candidate_or_unknown/archive/diagnostic/invalid
claim_usable,yes,yes/no
notes,no,free text and validator notes
